Postcode;PercentageTrees;PercentageBushes;PercentageGrass
2803;25,32;8,94;45,01
2804;30,61;9,51;39,19
2805;25,53;9,15;49,92
2806;23,71;9,33;41,90
2807;21,40;8,54;42,83
2808;19,46;9,02;54,30
2809;17,45;8,04;57,34
2811;22,96;10,35;52,53
2821;22,24;8,65;53,35
2825;23,93;9,25;51,52
2831;25,90;9,45;56,22
2841;20,31;8,05;58,82
2851;24,44;8,91;56,91
2855;20,65;8,73;53,06
2861;21,33;9,21;56,92
2865;16,39;10,35;51,31
2871;20,90;8,62;52,22
2872;7,17;4,29;46,61
2901;15,39;7,92;42,44
2902;29,03;8,62;44,33
2903;22,39;7,77;44,88
2904;23,21;8,83;45,59
2905;28,57;8,65;49,31
2906;21,30;8,03;40,09
2907;35,56;9,13;40,22
2908;26,28;8,23;39,93
2909;11,99;5,89;45,15
2911;25,22;10,85;56,69
2912;20,22;8,78;47,15
2913;29,70;8,50;53,08
2914;26,57;8,75;47,35
2921;26,33;10,08;38,84
2922;23,63;7,94;36,27
2923;24,55;9,28;40,88
2924;25,56;9,44;43,15
2925;28,70;9,74;47,53
2926;24,00;8,84;42,15
2931;29,10;11,95;50,75
2935;18,65;8,98;59,32
2941;28,85;10,08;57,13
2951;19,27;8,07;36,92
2952;29,89;7,31;44,53
2953;24,50;8,44;48,53
2954;21,71;8,36;57,89
2957;18,92;7,71;52,31
2959;21,43;8,83;59,43
2961;16,84;8,19;71,13
2964;23,01;9,28;57,79
2965;19,13;8,27;50,50
2967;23,39;7,81;64,87
2968;17,52;7,47;69,30
2969;32,41;8,58;56,13
2971;22,81;7,56;58,14
2973;26,84;7,43;54,39
2974;20,26;7,58;57,79
2975;23,52;6,92;60,32
2977;25,93;8,46;59,96
2981;25,86;8,30;40,55
2982;32,82;8,39;46,60
2983;30,11;8,49;46,31
2984;31,35;8,81;40,03
2985;30,75;8,72;33,07
2986;32,42;9,32;41,81
2987;32,91;7,56;47,35
2988;26,49;9,47;57,98
2989;29,69;10,32;57,37
2991;25,97;8,95;50,00
2992;22,69;10,13;49,94
2993;19,48;11,56;51,00
2994;8,38;6,84;55,38
2995;25,06;13,08;55,41
3011;22,82;6,18;23,80
3012;23,20;6,66;23,43
3013;12,95;4,19;23,02
3014;21,41;7,74;25,91
3015;24,98;7,73;36,23
3016;41,27;7,94;37,43
3021;24,09;9,12;29,18
3022;25,49;9,14;36,37
3023;25,06;8,46;30,27
3024;17,25;6,41;34,32
3025;17,17;6,88;26,57
3026;23,45;7,05;28,75
3027;23,03;7,10;30,89
3028;24,60;8,40;42,08
3029;17,81;6,84;43,06
3031;30,06;7,79;32,96
3032;23,28;7,24;29,67
3033;25,42;8,96;26,74
3034;33,54;9,08;38,15
3035;19,93;8,05;24,70
3036;23,54;7,40;28,25
3037;24,46;8,88;28,15
3038;25,53;9,18;29,54
3039;29,55;10,08;39,65
3041;31,64;11,22;42,88
3042;28,89;8,71;37,31
3043;25,93;11,14;45,31
3044;22,71;7,82;34,94
3045;33,05;9,22;60,01
3046;38,03;8,76;68,59
3047;32,77;11,18;57,20
3051;18,27;9,89;29,43
3052;29,93;8,95;43,14
3053;31,87;10,21;48,89
3054;27,18;9,84;42,75
3055;31,04;10,94;40,07
3056;23,37;9,40;54,81
3059;11,11;7,99;49,40
3061;22,20;8,14;31,84
3062;48,22;9,06;39,69
3063;30,56;10,04;49,32
3064;24,27;9,30;42,51
3065;21,14;10,54;41,15
3066;26,87;8,78;45,56
3067;28,10;8,66;38,11
3068;30,20;8,89;38,88
3069;29,96;9,71;45,37
3071;18,78;7,45;32,95
3072;18,36;6,97;32,76
3073;21,18;7,27;25,73
3074;26,71;6,51;30,69
3075;28,37;9,66;36,99
3076;26,64;8,25;42,45
3077;31,65;7,60;36,81
3078;38,51;7,19;44,89
3079;29,34;8,80;44,21
3081;28,61;6,43;29,62
3082;28,33;7,89;33,85
3083;25,31;7,74;27,93
3084;38,92;8,90;44,97
3085;26,54;8,03;44,45
3086;26,17;7,68;41,40
3087;24,12;4,80;45,30
3088;21,34;6,76;37,31
3089;26,15;5,72;38,18
3111;23,35;7,46;25,90
3112;18,76;8,04;31,26
3113;19,03;6,36;47,95
3114;23,50;6,82;37,21
3115;28,03;8,47;39,90
3116;29,61;10,08;38,05
3117;18,73;9,30;38,44
3118;28,06;7,69;46,19
3119;25,51;7,39;40,31
3121;34,52;9,26;46,72
3122;28,10;6,72;50,70
3123;21,31;9,56;56,42
3124;22,51;9,04;57,99
3125;24,80;10,61;49,13
3131;21,31;8,26;34,09
3132;32,07;9,60;50,40
3133;39,09;10,00;55,03
3134;22,53;8,28;37,17
3135;20,03;9,52;42,11
3136;32,05;8,75;40,76
